,title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
303,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,ActionAdventureScience fantasySuperhero,7+
304,Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82,"comedy,fantasy",
305,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80,Animation,
306,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80,"comedy,kids,family,action,adventure,animation",
307,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81,"adventure,comedy,kids,family,animation",
308,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82,"Educational television, Puppetery",
309,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82,,
310,Angry Birds,TV-G,Suitable for all ages.,35,2013,,82,"Comedy, Adventure, Animated",
311,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80,,
312,Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82,Science FantasyComedyActionAdventureScience Fiction,7+
313,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80,,
314,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80,"adventure,fantasy,kids,family,animation",
315,The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,,82,,
316,Bob the Builder,TV-Y,Suitable for all ages.,10,2015,,82,Children's animation,
317,Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,,82,,7+
318,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82,ActionAdventureComedyDramaScience fantasySuperhero,7+
319,DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,,82,,
320,LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80,"CGI, Action, Adventure, Science fantasy, Martial arts, Superhero, Comedy",7+
321,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80,HorrorAnthologySupernaturalScience FictionScience FantasyFantasyComedy,7+
322,LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,,82,,7+
323,Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,,82,"adventure,comedy,kids,family",
324,Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,,
325,PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80,,
326,Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80,"comedy,scifi,kids,family,action,adventure,animation",
327,Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,ActionAdventureScience fantasyComedyAnimationSuperhero,7+
328,Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,,82,,
329,Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,TokusatsuActionAdventureScience fictionSuperhero,7+
330,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82,Animation,
331,The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80,"Comedy, Action, Adventure, Animation",7+
332,Some Assembly Required,TV-G,Suitable for all ages.,35,2015,,82,,
333,Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,Comedy-DramaFantasyActionAdventure,7+
334,Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,,7+
335,Robocar Poli,TV-Y,Suitable for all ages.,10,2012,,82,"Animation, Children, Comedy, Music, Adventure, Educational, Preschool",
336,LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,,7+
337,Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,ActionAdventureScience fantasyMechaComedy-drama,7+
338,Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82,"Comedy, Stop-Motion",
339,PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80,,7+
340,Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,ActionAdventureScience fantasySuperhero,7+
341,The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,"adventure,mystery,thriller",7+
342,Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Action-adventureComedyFantasy,7+
343,Growing Up Wild,G,General Audiences. Suitable for all ages.,35,2016,80.0,80,Wildlife documentary,
344,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80,"comedy,kids,family",
345,Flubber,PG,slapstick action and mild language,60,1997,83.0,80,"comedy,kids,family",
346,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80,"animation,musical,kids,family",
347,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80,,
348,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80,"Science fiction, Fantasy, Action-Adventure, Comedy",
349,Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80,,
350,The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,,82,Cartoon,
351,Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,,82,,
352,The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80,,
353,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80,"adventure,comedy,kids,family,animation",
354,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80,ComedyAction/AdventureMartial arts,
355,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80,ChildrenEducational,
356,Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80,Kids&Family,
357,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82,,
358,Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80,"Comedy, Science fiction",7+
359,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80,Preschool educationComedy,
360,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82,ChildrenAnimationActionAdventure film,
361,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80,Action AdventureFantasyDramedy,7+
362,Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,,82,Preschool,
363,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80,Children's television seriesEducationalAdventureMusical,
364,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80,"comedy,animation,kids,family,fantasy",
365,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80,ComedyAdventure,7+
366,Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80,HorrorAnthologySupernaturalScience FictionScience FantasyFantasyComedy,
367,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80,"adventure,comedy,kids,family,animation",
368,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82,Comic science fictionAnimatedComedy,7+
369,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80,,
370,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82,,
371,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80,"fantasy,kids,family",
372,Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,,82,Children's televisionAnimatedEducational,
373,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80,,
374,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82,,
375,Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,,82,ChildrenComedy,
376,Antz,PG,moderate adult language and intense action,60,1998,80.0,80,"comedy,romance,kids,family,fantasy,adventure,animation",
377,Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80,"adventure,comedy,kids,family,animation",
378,Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80,,
379,Annie,PG,adult content and mld violence,60,1982,68.0,80,"musical,comedy,kids,family",
380,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80,,
381,Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80,,
382,DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80,,
383,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82,,
384,DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82,,
385,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,EducationalAdventureComedyScience fantasy,
386,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,,
387,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80,FantasyAdventureMusicalComedy,
388,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80,,
389,Paddington,PG,mild action and rude humor,60,2014,70.0,80,Animation,
390,Larva,TV-G,Suitable for all ages.,35,2015,,82,ComedyAnimationSlapstick,
391,Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,,82,Children's television seriesEducation,
392,Minions,PG,action and rude humor,60,2015,96.0,80,"adventure,comedy,kids,family,animation",
393,The Little Prince,PG,mild thematic elements,60,2015,71.0,80,"adventure,fantasy,animation",
394,Word Party,TV-Y,Suitable for all ages.,10,2016,,82,Educational,
395,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80,documentary,
396,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80,,
397,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80,,
398,Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80,,
399,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80,Animation,
400,Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80,,
401,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82,"Education, Comedy, Fantasy",
402,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80,Division Motion pictures,
403,Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80,Comedy,
404,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80,"fantasy,kids,family,animation",
405,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80,Animation,7+
406,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82,,
407,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80,,
408,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82,"comedy,kids,family",
409,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80,,
410,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82,"animation,musical,kids,family,music",
411,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80,,
412,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80,"fantasy,kids,family,animation",
413,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80,"fantasy,kids,family,animation",
414,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82,,
415,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82,,
416,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82,,
417,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80,United States of America (Territory of Alaska),
418,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82,"fantasy,kids,family,drama",
419,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82,"animation,musical,kids,family",
420,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82,,
421,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82,,
422,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82,,
423,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82,"fantasy,kids,family,animation",
424,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80,"adventure,comedy,kids,family,animation",
425,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82,,
426,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82,,
427,A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,,82,"adventure,comedy,kids,family,animation",
428,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82,"fantasy,adventure,kids,family,animation",
429,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82,"comedy,kids,family,fantasy,adventure,animation",
430,Ernest & Celestine,PG,some scary moments,60,2012,,82,,
431,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80,ComedyMusicalSatireSketchEducationalSlapstick,7+
432,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82,,
433,PopPixie,TV-G,Suitable for all ages.,35,2011,,82,"Fantasy, Adventure",
434,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,,82,,
435,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80,"fantasy,adventure,kids,family,animation",
436,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82,,
437,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,,7+
438,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82,"adventure,kids,family,animation",
439,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82,,
440,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82,,
441,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82,"animation,comedy,fantasy",
442,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82,"adventure,kids,family,animation",7+
443,Blinky Bill: The Movie,PG,some rude humor,60,2015,,82,,
444,FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70.0,80,,
445,The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,,82,,
446,Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,,82,Children's television seriesComedy,
447,The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,,82,,
448,The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,,82,"adventure,kids,family,animation",
449,The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,,82,,
450,Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,,82,"adventure,comedy,kids,family,animation",
451,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82,,
452,Monster Math Squad,TV-G,Suitable for all ages.,35,2012,,82,,
453,Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,,82,AdventureMusical,
454,Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,,82,Children's,
455,Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,,82,Anime&Manga,7+
456,Ribbit,PG,some peril,60,2014,,82,"comedy,kids,family,drama,adventure,animation",
457,Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,,82,,
458,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82,,
459,Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82,"adventure,kids,family,animation",
460,Puffin Rock,TV-Y,Suitable for all ages.,10,2016,,82,Children's television series,
461,The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,,82,ComedyMusicalHistory,7+
462,Zoobabu,TV-Y,Suitable for all ages.,10,2010,,82,,
463,Gon,TV-G,Suitable for all ages.,35,2013,,82,,
464,Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,,82,,
465,LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,,7+
466,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80,Sitcom,
467,Cats & Dogs,PG,animal action and humor,60,2001,,82,,
468,Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80,,
469,Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,,82,,
470,Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80,,
471,Batched,G,General Audiences. Suitable for all ages.,35,2000,,82,,
472,Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,,82,,
473,Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,,82,,
474,Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,,82,,
475,Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80,"fantasy,kids,family,animation",
476,Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,,82,,
477,Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82,drama,
478,Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82,"adventure,animation",
479,Mr. Magoo,PG,mild language and action sequences,60,1997,,82,,
480,Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,,82,,
481,Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80,,
482,Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80,"comedy,kids,family",
483,Heavyweights,PG,some rude language and pranks,60,1995,74.0,80,"comedy,kids,family",
484,Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,,82,"comedy,kids,family",
485,Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,,82,,
486,D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80,,
487,"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80,,
488,Air Buddies,PG,"some mild, rude humor",60,2006,,82,"comedy,kids,family",
489,Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,,82,,
490,Flicka 2,PG,some reckless behavior,60,2010,,82,"kids,family,drama",
491,H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80,"Children / teen drama, Fantasy",
492,Dolphin Tale,PG,some mild thematic elements,60,2011,,82,"adventure,kids,family,drama",
493,Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82,comedy,
494,Mia and Me,TV-Y,Suitable for all ages.,10,2015,,82,FantasyAdventure,
495,Russell Madness,PG,some rude humor and sports action,60,2015,,82,"adventure,comedy,kids,family",
496,Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,,82,"adventure,kids,family",
497,Pup Star,G,General Audiences. Suitable for all ages.,35,2016,,82,,
498,Precious Puppies,TV-G,Suitable for all ages.,35,2003,,82,,
499,Beary Tales,TV-G,Suitable for all ages.,35,2013,,82,,
